merchant,flyer_id,name,price,valid_from,valid_to
Loblaws,7699629,"PC® RAW ZIPPERBACK JUMBO WILD ARGENTINIAN SHRIMP, 340 G, 21-30 per lb",11.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,"PC® FETA CHEESE, 400 g",9.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,"SAVOURA CERIZO CHERRY TOMATOES ON THE VINE, 150 g",2.49,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,GREEN ZUCCHINI OR LARGE EGGPLANT,1.29,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,"MONTREAL STYLE BAGELS, 64-113 g",1.69,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,Facebook,,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,"LIL SNAPPERS ORGANIC BOSC PEARS, 2 lb",6.49,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,PORK TAIL,2.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,PORK FEET,2.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,COLLARD GREENS,3.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,"PC® PUB RECIPE CHICKEN NUGGETS, STRIPS OR BURGERS, 700 g",7.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,"STRAWBERRY SHORTCAKE 8"", 1 KG",29.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,"PC® COLESLAW, 397 g",2.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,ZIGGY'S® COOKED OR SMOKED TURKEY BREAST,8.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,KALE,3.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,WHOLE PORK LOIN,1.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,PORK LIVER,2.49,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,WHOLE BONELESS PORK LOIN,2.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,"MAPLE LODGE FARMS CHICKEN BACON OR ZABIHA HALAL CHICKEN BREAST STRIPS, 375 g",5.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,"PANE FRESCO CHILLED SOUP, 900 ML",9.49,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,"SEAQUEST® FISH FILLETS, 400 g",5.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,ORGANIC MANGO,2.49,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,MARCANGELO IMPORTED MORTADELLA,9.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,FORTINOS MIXED BOUQUETS,20.0,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,SWISS CHARD,3.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,"YORKSHIRE VALLEY FARMS ORGANIC CHICKEN BITES, 454 g",12.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,"WONDER BREAD 675 G, JUMBO HOT DOG OR HAMBURGER BUNS, 8'S OR PC® MINI TORTILLAS, 192/200 g",2.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,WHOLE PORK SHOULDER,1.79,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
Loblaws,7699629,PORK HOCKS,2.99,2026-01-08T00:00:00-05:00,2026-01-14T23:59:59-05:00
